path,bytes,tracked,on_disk,category,purpose,recommendation,mtime
archive/verification/CLOUD_SOURCE_SHA256.txt,17823,True,True,D,explicit historical archive material,keep only via Git history/tags; Stage-2 tree does not need it,
archive/verification/MANIFEST_SHA256.txt,341212,True,True,D,explicit historical archive material,keep only via Git history/tags; Stage-2 tree does not need it,
code/environment/remote_environment.txt,271,True,True,A,environment freeze evidence for the frozen pipeline,keep,
code/environment/requirements_main_freeze.txt,2276,True,True,A,environment freeze evidence for the frozen pipeline,keep,
code/environment/requirements_pennylane_freeze.txt,3777,True,True,A,environment freeze evidence for the frozen pipeline,keep,
data/prompt_bank/ISAC_NPY.txt,571,False,True,D,LLM prompt-bank asset (future LLM stage),decide at LLM stage,
docs/F02_新任务交接.md,10554,True,True,C,completed task/handover work order (process document),delete from working tree after acceptance; history in Git commits,
docs/GPT-6-pro研究交接与深度调研任务书.md,24335,True,True,C,completed task/handover work order (process document),delete from working tree after acceptance; history in Git commits,
docs/ICCT2026官方模板/IEEEtemplate-word.doc,37816,True,True,A,static conference template/reference material,keep,
docs/ICCT会议论文完整研究归档.md,17462,True,True,D,historical planning/meeting document,remove from Stage-2 tree; preserved by Git history/tags,
docs/QGNN_性能瓶颈定位工单_BDX01.md,31846,True,True,C,completed task/handover work order (process document),delete from working tree after acceptance; history in Git commits,
docs/QGNN架构与流程_组会讲解.md,4106,True,True,D,historical planning/meeting document,remove from Stage-2 tree; preserved by Git history/tags,
docs/records/01_目标交互图_已完成__documents__第二研究点_多SNR对比消融与轨迹实验记录.md,13921,True,True,D,historical experiment records (Stage-0/1),remove from Stage-2 tree; preserved by Git history/tags,
docs/records/01_目标交互图_已完成__documents__第二研究点_对比实验结果与分析.md,5448,True,True,D,historical experiment records (Stage-0/1),remove from Stage-2 tree; preserved by Git history/tags,
docs/records/02_量测航迹关联图_方案__第二图_代码与初步实验结果.md,13016,True,True,D,historical experiment records (Stage-0/1),remove from Stage-2 tree; preserved by Git history/tags,
docs/records/04_量子关联图验证__development__结果与分析.md,5023,True,True,D,historical experiment records (Stage-0/1),remove from Stage-2 tree; preserved by Git history/tags,
docs/records/QGNN_LLM最终实验结果_截至2026-09-09.md,14010,True,True,D,historical experiment records (Stage-0/1),remove from Stage-2 tree; preserved by Git history/tags,
docs/records/全部实验结果汇总_截至2026-09-10.md,11658,True,True,D,historical experiment records (Stage-0/1),remove from Stage-2 tree; preserved by Git history/tags,
docs/records/未来词QGNN_LLM实验_2026-09-09__LLM组件消融实验结果_2026-09-10.md,3988,True,True,D,historical experiment records (Stage-0/1),remove from Stage-2 tree; preserved by Git history/tags,
docs/records/未来词QGNN_LLM实验_2026-09-09__QGNN_LLM最终实验结果_截至2026-09-10.md,25119,True,True,D,historical experiment records (Stage-0/1),remove from Stage-2 tree; preserved by Git history/tags,
docs/records/未来词QGNN_LLM实验_2026-09-09__QGNN_LLM有效衔接实验结果_截至2026-09-09.md,16664,True,True,D,historical experiment records (Stage-0/1),remove from Stage-2 tree; preserved by Git history/tags,
docs/records/量子方案全上下文归档_截至2026-09-06.md,267280,True,True,D,historical experiment records (Stage-0/1),remove from Stage-2 tree; preserved by Git history/tags,
docs/代码索引与复现说明.md,2913,True,True,B,status/plan documentation superseded by code/configs/reports/commit history,delete from working tree; facts live in code/configs/reports,
docs/历史实验版本索引.md,4377,True,True,B,status/plan documentation superseded by code/configs/reports/commit history,delete from working tree; facts live in code/configs/reports,
docs/对话研究决策时间线.md,4939,True,True,D,historical planning/meeting document,remove from Stage-2 tree; preserved by Git history/tags,
experiments/qgnn_hzy/README.md,1688,False,True,A,QGNN candidate module readme,keep with the QGNN module work,
models/gpt2/README.md,7932,False,True,C,model asset metadata bundled with the B-class GPT-2 weights,"covered by models/gpt2 manifest, not a repository document",
models/gpt2/merges.txt,456356,False,True,C,model asset metadata bundled with the B-class GPT-2 weights,"covered by models/gpt2 manifest, not a repository document",
reports/2026_09_15_QGNN组会汇报_电路更新版.pptx,316247,False,True,A,Stage-1 meeting deck (only surviving copy of the updated version),preserve (version with the Stage-1 tag decision),
reports/F02_REPORT.md,3756,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/F03_ACCELERATION_AND_READINESS.md,2727,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/QGNN_审计与改进执行方案.md,18773,False,True,D,"historical QGNN improvement plan (post-meeting, untracked)",decide: version once with the QGNN module or discard,
reports/amendment_A02_before/ROADMAP.md,25799,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/amendment_A02_before/研究方案书.md,81301,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/amendment_A02_final/ROADMAP.md,31803,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/amendment_A02_final/研究方案书.md,93541,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/amendment_A03_before/README.md,2239,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/amendment_A03_before/ROADMAP.md,33028,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/amendment_A03_before/amendment_log.md,6533,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/amendment_A03_before/研究方案书.md,94931,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/f01c/F01C_REPORT.md,6956,True,True,B,ISAC stage report/spec superseded by code/configs/reports,delete from working tree; evidence preserved in Git history/tag,
reports/f01c/local_root_docs_before_status/ROADMAP.md,31803,True,True,B,ISAC stage report/spec superseded by code/configs/reports,delete from working tree; evidence preserved in Git history/tag,
reports/f01c/local_root_docs_before_status/研究方案书.md,93541,True,True,B,ISAC stage report/spec superseded by code/configs/reports,delete from working tree; evidence preserved in Git history/tag,
reports/f01d/F01D_REPORT.md,1501,True,True,B,ISAC stage report/spec superseded by code/configs/reports,delete from working tree; evidence preserved in Git history/tag,
reports/f01e/REBUILD03A_REPORT.md,8436,True,True,B,ISAC stage report/spec superseded by code/configs/reports,delete from working tree; evidence preserved in Git history/tag,
reports/f01e/REBUILD03B_REPORT.md,10083,True,True,B,ISAC stage report/spec superseded by code/configs/reports,delete from working tree; evidence preserved in Git history/tag,
reports/f01e/snr_audit_04/SNR_AUDIT_REPORT.md,8665,True,True,B,ISAC stage report/spec superseded by code/configs/reports,delete from working tree; evidence preserved in Git history/tag,
reports/f01e/snr_design_05/SNR_DESIGN_REPORT.md,7886,True,True,B,ISAC stage report/spec superseded by code/configs/reports,delete from working tree; evidence preserved in Git history/tag,
reports/qgat_audit/AUDIT.md,9798,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgat_candidate/RESULTS.md,3759,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgat_candidate/ROUTE_CHANGE.md,2497,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgat_extend100/PROTOCOL.md,4024,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgat_factorial/PROTOCOL.md,4684,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgat_factorial/RESULTS.md,3494,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgat_factorial_full/PROTOCOL.md,1698,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgat_formal/PROTOCOL.md,8362,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgat_model_handoff_20260913/00_先读我.md,7253,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgat_model_handoff_20260913/01_发给GPT-6-Pro的任务书.md,9058,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgat_model_handoff_20260913/02_模型结构与代码导读.md,23242,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgat_model_handoff_20260913/03_结果与证据边界.md,12398,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgat_model_handoff_20260913/04_模型分析直读版.md,116955,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgat_model_handoff_20260913/project/ENVIRONMENT.md,1601,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgat_model_handoff_20260913/project/models/gpt2/merges.txt,456318,False,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgat_model_handoff_20260913/project/reports/f01d/F01D_REPORT.md,1501,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgat_model_handoff_20260913/project/reports/qgat_audit/AUDIT.md,9798,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgat_model_handoff_20260913/project/reports/qgat_candidate/RESULTS.md,3759,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgat_model_handoff_20260913/project/reports/qgat_candidate/ROUTE_CHANGE.md,2497,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgat_model_handoff_20260913/project/reports/qgat_extend100/PROTOCOL.md,4024,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgat_model_handoff_20260913/project/reports/qgat_factorial/PROTOCOL.md,4684,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgat_model_handoff_20260913/project/reports/qgat_factorial/RESULTS.md,3494,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgat_model_handoff_20260913/project/reports/qgat_factorial_full/PROTOCOL.md,1698,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgat_model_handoff_20260913/project/reports/qgat_relation/PROTOCOL.md,7722,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgat_model_handoff_20260913/project/reports/qgat_relation_batch_benchmark/REPORT.md,5794,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgat_model_handoff_20260913/project/reports/qgat_relation_gnn/PROTOCOL.md,2859,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgat_model_handoff_20260913/project/reports/qgat_relation_gnn_fast/PROTOCOL.md,2930,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgat_model_handoff_20260913/project/requirements-lock.txt,1433,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgat_model_handoff_20260913/project/requirements.txt,221,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgat_model_handoff_20260913/tables/README.md,2672,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgat_relation/PROTOCOL.md,7722,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgat_relation_batch_benchmark/REPORT.md,5794,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgat_relation_gnn/PROTOCOL.md,2859,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgat_relation_gnn_fast/PROTOCOL.md,2930,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgat_value/PROTOCOL.md,8657,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgnn_bottleneck/bdx01_20260914_01/NEXT_DECISION.md,413,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgnn_bottleneck/bdx01_20260914_01/PROTOCOL.md,682,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgnn_bottleneck/bdx01_20260914_01/PUBLISH_MANIFEST.md,16677,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgnn_bottleneck/bdx01_20260914_01/REPORT.md,11712,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgnn_cases/REPORT.md,6832,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgnn_connection_readout_probe/诊断结果.md,5521,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgnn_directed_context/PROTOCOL.md,3585,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgnn_directed_context/STATUS.md,2610,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgnn_directed_context/seed2026/RESULT.md,688,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgnn_frozen_prediction_pilot/小规模预测对照结果.md,5421,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgnn_inherited100/PROTOCOL.md,6488,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgnn_inherited100/READOUT_PROPOSAL.md,5702,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgnn_motionframe/PROTOCOL.md,4911,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgnn_motionframe/seed2026/RESULT.md,1090,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgnn_readout/DIAGNOSIS.md,3696,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgnn_readout/PROTOCOL.md,3164,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/qgnn_readout/seed2026/RESULT.md,663,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/sensing_audit/sens_audit_01/REPORT.md,19116,True,True,B,ISAC stage report/spec superseded by code/configs/reports,delete from working tree; evidence preserved in Git history/tag,
reports/sensing_audit/sens_audit_01/call_chain.md,7652,True,True,B,ISAC stage report/spec superseded by code/configs/reports,delete from working tree; evidence preserved in Git history/tag,
reports/sensing_design/sens_design_02/DECISIONS.md,12300,True,True,A,frozen frontend design contract referenced by production code,keep,
reports/sensing_design/sens_design_02/DESIGN.md,6209,True,True,B,ISAC stage report/spec superseded by code/configs/reports,delete from working tree; evidence preserved in Git history/tag,
reports/sensing_design/sens_design_02/EXTERNAL_REUSE_MATRIX.md,7772,True,True,B,ISAC stage report/spec superseded by code/configs/reports,delete from working tree; evidence preserved in Git history/tag,
reports/sensing_design/sens_design_02/GT_ISOLATION_SPEC.md,5565,True,True,A,frozen frontend design contract referenced by production code,keep,
reports/sensing_design/sens_design_02/INTERFACE_SPEC.md,10802,True,True,A,frozen frontend design contract referenced by production code,keep,
reports/sensing_design/sens_design_02/REBUILD_03_WORKPLAN.md,10823,True,True,B,ISAC stage report/spec superseded by code/configs/reports,delete from working tree; evidence preserved in Git history/tag,
reports/sensing_design/sens_design_02/SYSTEM_MODEL.md,17622,True,True,A,frozen frontend design contract referenced by production code,keep,
reports/sensing_design/sens_design_02/VALIDATION_PLAN.md,7759,True,True,B,ISAC stage report/spec superseded by code/configs/reports,delete from working tree; evidence preserved in Git history/tag,
reports/snr_positive_before/local_docs/README.md,4061,True,True,B,ISAC stage report/spec superseded by code/configs/reports,delete from working tree; evidence preserved in Git history/tag,
reports/snr_positive_before/local_docs/ROADMAP.md,32563,True,True,B,ISAC stage report/spec superseded by code/configs/reports,delete from working tree; evidence preserved in Git history/tag,
reports/snr_positive_before/local_docs/amendment_log.md,8529,True,True,B,ISAC stage report/spec superseded by code/configs/reports,delete from working tree; evidence preserved in Git history/tag,
reports/snr_positive_before/local_docs/研究方案书.md,86600,True,True,B,ISAC stage report/spec superseded by code/configs/reports,delete from working tree; evidence preserved in Git history/tag,
reports/symbol_level/A03_REPORT.md,6439,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/symbol_level/validation.md,2667,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
reports/【0908】汇报.pptx,283992,True,True,D,historical experiment protocol/result (QGNN/QGAT/Stage-0),remove from Stage-2 tree; preserved by Git history/tags,
requirements-lock.txt,1433,True,True,A,public static project documentation,keep,
requirements.txt,221,True,True,A,public static project documentation,keep,
results/diagnostics/core_message_seed2026_v2/PennyLane实现与一致性验证.md,3520,True,True,D,historical QGNN/QGAT experiment result document,remove from Stage-2 tree; preserved by Git history/tags,
results/diagnostics/core_message_seed2026_v2/angle_scale_0p5_seed2026_v1/量子角度范围实验报告_截至2026-09-07.md,2861,True,True,D,historical QGNN/QGAT experiment result document,remove from Stage-2 tree; preserved by Git history/tags,
results/diagnostics/core_message_seed2026_v2/converged_protocol_seed2026_v1/QGNN性能提升受限诊断_截至2026-09-07.md,6878,True,True,D,historical QGNN/QGAT experiment result document,remove from Stage-2 tree; preserved by Git history/tags,
results/diagnostics/core_message_seed2026_v2/converged_protocol_seed2026_v1/QGNN瓶颈因果验证_截至2026-09-07.md,5119,True,True,D,historical QGNN/QGAT experiment result document,remove from Stage-2 tree; preserved by Git history/tags,
results/diagnostics/core_message_seed2026_v2/converged_protocol_seed2026_v1/交互复杂度分层评估报告_截至2026-09-07.md,5096,True,True,D,historical QGNN/QGAT experiment result document,remove from Stage-2 tree; preserved by Git history/tags,
results/diagnostics/core_message_seed2026_v2/converged_protocol_seed2026_v1/当前结果分析_截至2026-09-07.md,6880,True,True,D,historical QGNN/QGAT experiment result document,remove from Stage-2 tree; preserved by Git history/tags,
results/diagnostics/core_message_seed2026_v2/dual_core_seed2026_v1/双层量子图网络实验报告_截至2026-09-07.md,8003,True,True,D,historical QGNN/QGAT experiment result document,remove from Stage-2 tree; preserved by Git history/tags,
results/diagnostics/core_message_seed2026_v2/final_qgnn_paper_evaluation_seed2026_v1/论文结果汇总.md,787,True,True,D,historical QGNN/QGAT experiment result document,remove from Stage-2 tree; preserved by Git history/tags,
results/diagnostics/core_message_seed2026_v2/requirements_pennylane.txt,97,True,True,D,historical QGNN/QGAT experiment result document,remove from Stage-2 tree; preserved by Git history/tags,
results/diagnostics/core_message_seed2026_v2/test_fixed_v1/测试集验证报告.md,4202,True,True,D,historical QGNN/QGAT experiment result document,remove from Stage-2 tree; preserved by Git history/tags,
results/diagnostics/core_message_seed2026_v2/value_modulation_seed2026_v1/量子Value调制实验报告_截至2026-09-07.md,4188,True,True,D,historical QGNN/QGAT experiment result document,remove from Stage-2 tree; preserved by Git history/tags,
results/diagnostics/core_message_seed2026_v2/复杂度与量子机制消融报告.md,3794,True,True,D,historical QGNN/QGAT experiment result document,remove from Stage-2 tree; preserved by Git history/tags,
results/diagnostics/core_message_seed2026_v2/实验协议.md,5424,True,True,D,historical QGNN/QGAT experiment result document,remove from Stage-2 tree; preserved by Git history/tags,
results/diagnostics/core_message_seed2026_v2/实验结果与分析.md,4654,True,True,D,historical QGNN/QGAT experiment result document,remove from Stage-2 tree; preserved by Git history/tags,
results/diagnostics/core_message_seed2026_v2/最新结果综合分析_截至2026-09-06.md,9666,True,True,D,historical QGNN/QGAT experiment result document,remove from Stage-2 tree; preserved by Git history/tags,
results/logs/baseline_predictor_lstm-tcn-transformer_snr0_sl72_pl20_G61_STANDARD_BASELINES.txt,30196,True,True,C,training log dump,remove from working tree; logs are not facts,
results/logs/baseline_predictor_lstm-tcn-transformer_snr10_sl72_pl20_G81_STANDARD_BASELINES.txt,21189,True,True,C,training log dump,remove from working tree; logs are not facts,
results/logs/baseline_predictor_lstm-tcn-transformer_snr15_sl72_pl20_G91_STANDARD_BASELINES.txt,29554,True,True,C,training log dump,remove from working tree; logs are not facts,
results/logs/baseline_predictor_lstm-tcn-transformer_snr20_sl72_pl20_G121_STANDARD_BASELINES.txt,32679,True,True,C,training log dump,remove from working tree; logs are not facts,
results/logs/baseline_predictor_lstm-tcn-transformer_snr5_sl72_pl20_G61_STANDARD_BASELINES.txt,20786,True,True,C,training log dump,remove from working tree; logs are not facts,
results/logs/baseline_predictor_transformer_snr10_sl72_pl20_G81_STANDARD_BASELINES.txt,7037,True,True,C,training log dump,remove from working tree; logs are not facts,
results/logs/baseline_predictor_transformer_snr15_sl72_pl20_G91_STANDARD_BASELINES.txt,7952,True,True,C,training log dump,remove from working tree; logs are not facts,
results/logs/baseline_predictor_transformer_snr20_sl72_pl20_G121_STANDARD_BASELINES.txt,6982,True,True,C,training log dump,remove from working tree; logs are not facts,
results/logs/baseline_predictor_transformer_snr5_sl72_pl20_G61_STANDARD_BASELINES.txt,6452,True,True,C,training log dump,remove from working tree; logs are not facts,
results/logs/gpt2_ablation_wo_global_refiner_snr20_sl72_pl20_G121.txt,21672,True,True,C,training log dump,remove from working tree; logs are not facts,
results/logs/gpt2_ablation_wo_soft_token_snr20_sl72_pl20_G121.txt,21270,True,True,C,training log dump,remove from working tree; logs are not facts,
results/logs/gpt2_ablation_wo_token_loss_snr20_sl72_pl20_G121.txt,17237,True,True,C,training log dump,remove from working tree; logs are not facts,
results/logs/gpt2_ablation_wo_uncertainty_u_snr20_sl72_pl20_G121.txt,21567,True,True,C,training log dump,remove from working tree; logs are not facts,
results/logs/inference_latency_snr20_bs128_sl72_pl20.txt,772,True,True,C,training log dump,remove from working tree; logs are not facts,
results/logs/inference_latency_snr20_bs128_sl72_pl20_paper_table.txt,239,True,True,C,training log dump,remove from working tree; logs are not facts,
results/logs/inference_latency_test_snr20_bs128_sl72_pl20.txt,784,True,True,C,training log dump,remove from working tree; logs are not facts,
results/logs/inference_latency_test_snr20_bs128_sl72_pl20_paper_table.txt,238,True,True,C,training log dump,remove from working tree; logs are not facts,
results/logs/localize.txt,4068,True,True,C,training log dump,remove from working tree; logs are not facts,
results/logs/localized_predictor_gpt2_soft_snr0_sl72_pl20_G61_MAIN.txt,26409,True,True,C,training log dump,remove from working tree; logs are not facts,
results/logs/localized_predictor_gpt2_soft_snr10_sl72_pl20_G81_MAIN.txt,22350,True,True,C,training log dump,remove from working tree; logs are not facts,
results/logs/localized_predictor_gpt2_soft_snr15_sl72_pl20_G91_MAIN.txt,22195,True,True,C,training log dump,remove from working tree; logs are not facts,
results/logs/localized_predictor_gpt2_soft_snr20_sl72_pl20_G121_MAIN.txt,22197,True,True,C,training log dump,remove from working tree; logs are not facts,
results/logs/localized_predictor_gpt2_soft_snr5_sl72_pl20_G61_MAIN.txt,22245,True,True,C,training log dump,remove from working tree; logs are not facts,
results/logs/test_gpt2_ablation_snr20_sl72_pl20_G121_20260423_091736.txt,1513,True,True,C,training log dump,remove from working tree; logs are not facts,
results/logs/test_predictor_metrics_snr5-10-15-20_sl72_pl20_20260514_133015.txt,3387,True,True,C,training log dump,remove from working tree; logs are not facts,
