"path","current_role","problem","decision","new_role","required_changes","reuse_level","risk","rebuild03_priority"
"frontend/symbol_dataset.py","Single model-input loader (whitelist 4 keys) + training-only normalization","hard-wired default DATA=data/f01d; normalization must be refit for new cache","KEEP_AND_MODIFY","single loader for both caches; --data root parameter; default switched only at downstream transition","add data-root argument; keep whitelist/validation identical; refit normalization on f01e train","high","low","P2"
"frontend/run_symbol_frontend.py","CPU known-target adapter and audit manifest (detected hard-coded True)","oracle mainline; retired","RETIRE_FROM_MAINLINE","historical reference only","no change; not imported by new pipeline","low","low","P3"
"frontend/run_frontend.py","Legacy F01-B/C pipeline (echo_cube -> detector -> JPDA tracker -> C06 cache)","not the current cache path; kept as a full-pipeline reference","REFERENCE_ONLY","pipeline-organization reference and old artifact reproduction","no change; no new usage","medium (organization)","low","P3"
"frontend/station_geometry.py","Fixed 3-BS geometry and visibility helper","none; consistent with A01","KEEP","geometry constants for simulator and fusion","no change; import from new modules where needed","high","low","P0"
"frontend/check_symbol_dataset.py","F01-D independent contract checks","checks bound to f01d paths/keys","KEEP_AND_MODIFY","template for frontend/check_shared_dataset.py (T1-T7 contracts)","copy/adapt, do not modify original; add T2 import sentinel and GT-leak checks","medium","low","P2"
"frontend/finalize_frontend.py","Legacy C06 finalization (frontend_config.json writer)","not on F01-D path","REFERENCE_ONLY","calibration-report writing reference","no change","low","low","P3"
"configs/symbol_frontend.json","Frozen A03 config for F01-D","contains the audited oracle scope fields","KEEP","immutable legacy config for oracle cache reproduction","no change","high","low","P0"
"scripts/run_f01d_gpu.py","F01-D formal entry: generate -> pack -> normalize -> validate","drives the oracle per-target generation path","RETIRE_FROM_MAINLINE","historical reproduction only; superseded by scripts/run_f01e_shared.py","no change; excluded from new pipeline; not deleted to keep F01-D reproducible","low (stage scaffolding patterns reused)","low","P0"
"scripts/rebuild_f01d_gpu.py","F01-D rebuild trigger after solver fix","same oracle path","RETIRE_FROM_MAINLINE","historical reproduction only","no change; no new usage","low","low","P3"
"configs/detector.json","Legacy C01 detector calibration values","bound to old waveform/cube axes","REFERENCE_ONLY","initial priors for new CFAR calibration","read only during calibration; values not copied blindly","medium","low","P2"
"frontend/sensing/__init__.py","","","NEW_FILE","package marker + public exports","create","new","low","P1"
"frontend/sensing/waveform.py","","","NEW_FILE","PaperWaveform (frozen constants) + ArrayConfig (ULA 16/lambda/2/FFT64) + geometry loader from A01","wrap existing dataclass; add array config and config hash helpers","new (wraps existing constants)","low","P0"
"frontend/sensing/simulator.py","","","NEW_FILE","A-domain shared echo: sum targets then one receiver noise; per-target radar-equation amplitude; visibility gates; deterministic seeds","implement frozen equations (SYSTEM_MODEL.md §2-3); unit-test linearity (T1)","new (ports ofdm_echo math)","medium","P1"
"frontend/sensing/detector.py","","","NEW_FILE","B-domain 3D CA-CFAR + NMS + peak interpolation + single-BS geometry; detection schema","port detector.py algorithms; Pfa per target false alarms/BS/frame; no GT inputs (T2)","new (ports legacy algorithms)","high","P1"
"frontend/sensing/coords.py","","","NEW_FILE","polar<->Cartesian, covariance propagation, angle wrap","implement and unit-test Jacobians","new","low","P1"
"frontend/fusion/association.py","","","NEW_FILE","Mahalanobis gating + component matching + inverse-covariance fusion","implement frozen algorithm (SYSTEM_MODEL.md §6)","new (concept from NIST scoreAssociationsPos)","high","P2"
"frontend/tracking/cv_kf.py","","","NEW_FILE","CV Kalman tracker + track state machine + 8-slot policy + detected/track_exists semantics","port tracker.py state machine; position-only updates; slot cooldown; no GT (T7)","new (ports legacy tracker)","high","P2"
"frontend/pack_shared_dataset.py","","","NEW_FILE","pack f01e sequences into inputs/labels/metadata; offline track<->GT matching diagnostics","keep F01-D window/origin logic; C-domain matching; input immutability hash check","new (adapts pack_symbol_dataset)","high","P2"
"frontend/check_shared_dataset.py","","","NEW_FILE","independent structural/causal/GT-isolation checks (T1-T7)","adapt check_symbol_dataset template; add import sentinel and label-immutability checks","new","high","P2"
"scripts/run_f01e_shared.py","","","NEW_FILE","formal streaming entry: generate+sense+track -> pack -> normalize -> validate","staged, user-launched, writes run_status/report under reports/f01e","new (patterns from run_f01d_gpu.py)","high","P2"
"scripts/calibrate_f01e_snr.py","","","NEW_FILE","wide SNR_ref sweep and detection/tracking quality report","no official operating point freezing; writes reports/f01e/calibration","new","medium","P3"
"configs/shared_frontend.json","","","NEW_FILE","new frontend configuration (revision B01-shared-3bs-v1)","freeze schema; snr_ref/q_a/cfar only after calibration review","new","medium","P0"
"README.md / ENVIRONMENT.md / ROADMAP.md / amendment_log.md","project docs","describe F01-D as current","KEEP_AND_MODIFY","document new frontend revision after REBUILD-03 completes","update only after implementation, not in DESIGN-02","low","low","P3"
